DOI,AUTHOR_NAME,AUTHOR_ORDER,AFFILIATION,TITLE,DATE,VOLUME,ISSUE,PAGES,KEYWORDS
"10.1080/16184742.2021.2011942
",Daniel Parnell,first,"Centre for Sport Business, University of Liverpool Management School, University of Liverpool, Liverpool, UK",Recruitment in elite football: a network approach,2021-12-3,NA,NA,1-17,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2021.2011942
",Alexander John Bond,additional,"Centre for Social Justice in Sport & Society, Carnegie School of Sport, Leeds Beckett, University, UK",Recruitment in elite football: a network approach,2021-12-3,NA,NA,1-17,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2021.2011942
",Paul Widdop,additional,"Department of Sport and Exercise Sciences, Faculty of Science and Engineering, Manchester Metropolitan University, UK",Recruitment in elite football: a network approach,2021-12-3,NA,NA,1-17,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2021.2011942
",Ryan Groom,additional,"Department of Sport and Exercise Sciences, Faculty of Science and Engineering, Manchester Metropolitan University, UK",Recruitment in elite football: a network approach,2021-12-3,NA,NA,1-17,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2021.2011942
",David Cockayne,additional,"Centre for Sport Business, University of Liverpool Management School, University of Liverpool, Liverpool, UK",Recruitment in elite football: a network approach,2021-12-3,NA,NA,1-17,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2021.1956990
",Mohamed Sobhy Temerak,first,"Faculty of Commerce, Cairo University, Gîza, Egypt",Participant engagement in running events and why it matters who else takes part,2021-7-24,NA,NA,1-24,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2021.1956990
",Heidi Winklhofer,additional,"Nottingham University Business School, University of Nottingham, Nottingham, UK",Participant engagement in running events and why it matters who else takes part,2021-7-24,NA,NA,1-24,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2020.1862272
",Jon Martin Denstadli,first,"NTNU Business School, Norwegian University of Science and Technology, Trondheim, Norway",I want to ride my bicycle! Or not? Health and transportation legacies of the 2017 World Road Cycling Championship,2021-1-7,NA,NA,1-17,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2020.1862272
",Harry Arne Solberg,additional,"NTNU Business School, Norwegian University of Science and Technology, Trondheim, Norway",I want to ride my bicycle! Or not? Health and transportation legacies of the 2017 World Road Cycling Championship,2021-1-7,NA,NA,1-17,"Strategy and Management, Tourism, Leisure and Hospitality Management"
"10.1080/16184742.2021.1967419
",Katrin Scharfenkamp,first,"Mercator School of Management, University of Duisburg-Essen, Duisburg, Germany",Gender-specific impact of age diversity on the performance of small teams: empirical evidence from professional biathlon relays,2021-8-26,NA,NA,1-18,"Strategy and Management, Tourism, Leisure and Hospitality Management"
