DOI,AUTHOR_NAME,AUTHOR_ORDER,AFFILIATION,TITLE,DATE,VOLUME,ISSUE,PAGES,KEYWORDS
"10.1123/jsm.2019-0415
",Jeffrey D. MacCharles,first,1Michigan State University,Charting Their Own Path: Using Life Course Theory to Explore the Careers of Gay Men Working in Sport,NA,35,5,407-425,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2019-0415
",E. Nicole Melton,additional,"2University of Massachusetts, Amherst",Charting Their Own Path: Using Life Course Theory to Explore the Careers of Gay Men Working in Sport,NA,35,5,407-425,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.18.1.40
",John Crompton,first,1Texas A&M University,Beyond Economic Impact: An Alternative Rationale for the Public Subsidy of Major League Sports Facilities,NA,18,1,40-58,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2013-0307
",Kathryn L. Heinze,first,1University of Michigan – Ann Arbor,Toward Strategic and Authentic Corporate Social Responsibility in Professional Sport: A Case Study of the Detroit Lions,NA,28,6,672-686,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2013-0307
",Sara Soderstrom,additional,1University of Michigan – Ann Arbor,Toward Strategic and Authentic Corporate Social Responsibility in Professional Sport: A Case Study of the Detroit Lions,NA,28,6,672-686,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2013-0307
",Jennifer Zdroik,additional,1University of Michigan – Ann Arbor,Toward Strategic and Authentic Corporate Social Responsibility in Professional Sport: A Case Study of the Detroit Lions,NA,28,6,672-686,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.26.5.391
",George B. Cunningham,first,1Texas A&M University,Diversity Training in Intercollegiate Athletics,NA,26,5,391-403,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2014-0195
",Younghan Lee,first,1Mississippi State University,"Athlete Endorsement, Attitudes, and Purchase Intention: The Interaction Effect Between Athlete Endorser-Product Congruence and Endorser Credibility",NA,29,5,523-538,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2014-0195
",Jakeun Koo,additional,2University of Massachusetts,"Athlete Endorsement, Attitudes, and Purchase Intention: The Interaction Effect Between Athlete Endorser-Product Congruence and Endorser Credibility",NA,29,5,523-538,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0183
",Chad Seifried,first,Louisiana State University,The Impact of Interorganizational Relationships on an Uncertain Industry: College Football Bowl Games,NA,33,4,317-330,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0183
",Brian Soebbing,additional,University of Alberta,The Impact of Interorganizational Relationships on an Uncertain Industry: College Football Bowl Games,NA,33,4,317-330,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0183
",Kwame J.A. Agyemang,additional,Louisiana State University,The Impact of Interorganizational Relationships on an Uncertain Industry: College Football Bowl Games,NA,33,4,317-330,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2017-0148
",Anthony Krautmann,first,DePaul University,Should Players Trust Their Agents? Portfolio Size and Agency Behavior in Major League Baseball,NA,32,3,199-210,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2017-0148
",Peter von Allmen,additional,Skidmore College,Should Players Trust Their Agents? Portfolio Size and Agency Behavior in Major League Baseball,NA,32,3,199-210,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2017-0148
",Stephen J.K. Walters,additional,Loyola University Maryland,Should Players Trust Their Agents? Portfolio Size and Agency Behavior in Major League Baseball,NA,32,3,199-210,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2017-0182
",Bram Constandt,first,Ghent University,Coach Ethical Leadership in Soccer Clubs: An Analysis of Its Influence on Ethical Behavior,NA,32,3,185-198,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2017-0182
",Els De Waegeneer,additional,Ghent University,Coach Ethical Leadership in Soccer Clubs: An Analysis of Its Influence on Ethical Behavior,NA,32,3,185-198,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2017-0182
",Annick Willem,additional,Ghent University,Coach Ethical Leadership in Soccer Clubs: An Analysis of Its Influence on Ethical Behavior,NA,32,3,185-198,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.8.1.57
",Burn-Jang Lim,first,1Seoul National University,Priorities of Financial Investments in Mass Sport in Korea,NA,8,1,57-62,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.8.1.57
",Hee-Duk Rho,additional,1Seoul National University,Priorities of Financial Investments in Mass Sport in Korea,NA,8,1,57-62,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.8.1.57
",Tong-Jin Kim,additional,1Seoul National University,Priorities of Financial Investments in Mass Sport in Korea,NA,8,1,57-62,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.8.1.57
",Ung-Kun Chung,additional,1Seoul National University,Priorities of Financial Investments in Mass Sport in Korea,NA,8,1,57-62,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.8.1.57
",Sinbok Kang,additional,1Seoul National University,Priorities of Financial Investments in Mass Sport in Korea,NA,8,1,57-62,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.8.1.57
",Jin-Kyung Park,additional,1Seoul National University,Priorities of Financial Investments in Mass Sport in Korea,NA,8,1,57-62,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0022
",Hojun Sung,first,University of Florida,Local Broadcast Viewership in Major League Soccer,NA,33,2,106-118,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0022
",Brian M. Mills,additional,University of Florida,Local Broadcast Viewership in Major League Soccer,NA,33,2,106-118,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.2018-0022
",Michael Mondello,additional,University of South Florida,Local Broadcast Viewership in Major League Soccer,NA,33,2,106-118,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.12.2.103
",James J. Zhang,first,1University of Houston,Relationship between Broadcasting Media and Minor League Hockey Game Attendance,NA,12,2,103-122,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.12.2.103
",Dale G. Pease,additional,1University of Houston,Relationship between Broadcasting Media and Minor League Hockey Game Attendance,NA,12,2,103-122,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.12.2.103
",Dennis W. Smith,additional,1University of Houston,Relationship between Broadcasting Media and Minor League Hockey Game Attendance,NA,12,2,103-122,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.10.4.465
",David Pan,additional,1University of Oklahoma,Sport Management Digest,NA,10,4,465-469,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.7.2.101
",L. Marlene Mawson,first,1Illinois State University,Total Quality Management: Perspectives for Sport Managers,NA,7,2,101-106,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.22.1.82
",Won Jae Seo,first,"1University of Texas, Austin",Development of the Motivation Scale for Sport Online Consumption,NA,22,1,82-109,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.22.1.82
",B. Christine Green,additional,"1University of Texas, Austin",Development of the Motivation Scale for Sport Online Consumption,NA,22,1,82-109,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.1.58
",Matthew J. Robinson,first,1University of Delaware,"Relationships among Spectator Gender, Motives, Points of Attachment, and Sport Preference",NA,19,1,58-80,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.19.1.58
",Galen T. Trail,additional,2University of Florida,"Relationships among Spectator Gender, Motives, Points of Attachment, and Sport Preference",NA,19,1,58-80,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.22.6.677
",Richard M. Southall,first,1University of North Carolina at Chapel Hill,A Method to March Madness? Institutional Logics and the 2006 National Collegiate Athletic Association Division I Men’s Basketball Tournament,NA,22,6,677-700,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
"10.1123/jsm.22.6.677
",Mark S. Nagel,additional,2University of South Carolina,A Method to March Madness? Institutional Logics and the 2006 National Collegiate Athletic Association Division I Men’s Basketball Tournament,NA,22,6,677-700,"Organizational Behavior and Human Resource Management, Physical Therapy, Sports Therapy and Rehabilitation, Orthopedics and Sports Medicine, General Decision Sciences"
