DOI,AUTHOR_NAME,AUTHOR_ORDER,AFFILIATION,TITLE,DATE,VOLUME,ISSUE,PAGES,KEYWORDS,ABSTRACT
10.1016/j.smr.2009.05.002,Emma Sherry,first,"La Trobe University, Melbourne, Australia",A Wider Social Role for Sport: Who´s Keeping the Score?,2009-10-1,12,4,273-274,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",NA
10.1016/j.smr.2009.05.002,F. Coalter,additional,"Routledge, 2 Park Square, Milton Park, Abingdon, Oxon OX14 4RN (2007)., 206 pp., RRP US$49.95, IBSN10: 0-415-36350-0",A Wider Social Role for Sport: Who´s Keeping the Score?,2009-10-1,12,4,273-274,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",NA
10.1016/j.smr.2012.04.002,Andrea Petróczi,first,"Kingston University, Penrhyn Road, Kingston upon Thames, Surrey KT1 2EE, UK",The doping self-reporting game: The paradox of a ‘false-telling’ mechanism and its potential research and policy implications,2012-10-1,15,4,513-517,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",Graphical abstract Highlights► Game theory is applicable to self-reporting surveys. ► The best strategy for all agents (athletes) would be lying about doping use. ► Lying on surveys could result in false negative as well as false positive answers. ► These potential distortions should be considered in self-reported doping prevalence.
10.1016/j.smr.2012.04.002,Kjetil K. Haugen,additional,"Molde University College, Specialized University in Logistics, Box 2110, 6402 Molde, Norway",The doping self-reporting game: The paradox of a ‘false-telling’ mechanism and its potential research and policy implications,2012-10-1,15,4,513-517,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",Graphical abstract Highlights► Game theory is applicable to self-reporting surveys. ► The best strategy for all agents (athletes) would be lying about doping use. ► Lying on surveys could result in false negative as well as false positive answers. ► These potential distortions should be considered in self-reported doping prevalence.
10.1016/j.smr.2018.09.001,Michael J. Hoekman,first,"University of Technology, Sydney, Australia",Re-engaging local youth for sustainable sport-for-development,2019-12-1,22,5,613-625,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","Highlights• Roles and responsibilities of re-engaged youth in sport-for-development.• Definition of re-engaged youth.• Empirical investigation based on qualitative fieldwork in Hanoi, Vietnam.• Re-engaged youth identified as program culture experts, role models, leaders and mentors.• Re-engaged youth are key drivers for sustainable organizational success."
10.1016/j.smr.2018.09.001,Nico Schulenkorf,additional,"University of Technology Sydney (UTS), Business School,  Sport Management ,  14 Ultimo Rd. , Ultimo, NSW, 2007, Australia",Re-engaging local youth for sustainable sport-for-development,2019-12-1,22,5,613-625,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","Highlights• Roles and responsibilities of re-engaged youth in sport-for-development.• Definition of re-engaged youth.• Empirical investigation based on qualitative fieldwork in Hanoi, Vietnam.• Re-engaged youth identified as program culture experts, role models, leaders and mentors.• Re-engaged youth are key drivers for sustainable organizational success."
10.1016/j.smr.2018.09.001,Jon Welty Peachey,additional,"University of Illinois at Urbana-Champaign, United States",Re-engaging local youth for sustainable sport-for-development,2019-12-1,22,5,613-625,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","Highlights• Roles and responsibilities of re-engaged youth in sport-for-development.• Definition of re-engaged youth.• Empirical investigation based on qualitative fieldwork in Hanoi, Vietnam.• Re-engaged youth identified as program culture experts, role models, leaders and mentors.• Re-engaged youth are key drivers for sustainable organizational success."
10.1016/j.smr.2014.01.002,Martin Schnitzer,first,"Department of Sport Science, University of Innsbruck,  Fürstenweg 185  Innsbruck, 6020, Austria",Perception of the new competition formats in the Innsbruck 2012 Youth Olympic Games sports programme—A spectators’ perspective,2014-10-1,17,4,432-443,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",Highlights• YOG spectators perceive the level of performance at new competitions as very high.• Watching an event from start to finish results in an increased entertainment level.• Spectators’ eustress scores are higher at action-packed events.• Spectators lack an understanding of the competition rules for new event formats.• Ski Halfpipe and Snowboard Slopestyle have potential for future development.
10.1016/j.smr.2014.01.002,Sabrina Scheiber,additional,"Department of Sport Science, University of Innsbruck,  Fürstenweg 185  Innsbruck, 6020, Austria",Perception of the new competition formats in the Innsbruck 2012 Youth Olympic Games sports programme—A spectators’ perspective,2014-10-1,17,4,432-443,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",Highlights• YOG spectators perceive the level of performance at new competitions as very high.• Watching an event from start to finish results in an increased entertainment level.• Spectators’ eustress scores are higher at action-packed events.• Spectators lack an understanding of the competition rules for new event formats.• Ski Halfpipe and Snowboard Slopestyle have potential for future development.
10.1016/j.smr.2014.01.002,Madeleine Lang,additional,"Department of Sport Science, University of Innsbruck,  Fürstenweg 185  Innsbruck, 6020, Austria",Perception of the new competition formats in the Innsbruck 2012 Youth Olympic Games sports programme—A spectators’ perspective,2014-10-1,17,4,432-443,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",Highlights• YOG spectators perceive the level of performance at new competitions as very high.• Watching an event from start to finish results in an increased entertainment level.• Spectators’ eustress scores are higher at action-packed events.• Spectators lack an understanding of the competition rules for new event formats.• Ski Halfpipe and Snowboard Slopestyle have potential for future development.
10.1016/j.smr.2014.01.002,Elisabeth Brandstetter,additional,"Department of Sport Science, University of Innsbruck,  Fürstenweg 185  Innsbruck, 6020, Austria",Perception of the new competition formats in the Innsbruck 2012 Youth Olympic Games sports programme—A spectators’ perspective,2014-10-1,17,4,432-443,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",Highlights• YOG spectators perceive the level of performance at new competitions as very high.• Watching an event from start to finish results in an increased entertainment level.• Spectators’ eustress scores are higher at action-packed events.• Spectators lack an understanding of the competition rules for new event formats.• Ski Halfpipe and Snowboard Slopestyle have potential for future development.
10.1016/j.smr.2014.01.002,Martin Kopp,additional,"Department of Sport Science, University of Innsbruck,  Fürstenweg 185  Innsbruck, 6020, Austria",Perception of the new competition formats in the Innsbruck 2012 Youth Olympic Games sports programme—A spectators’ perspective,2014-10-1,17,4,432-443,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",Highlights• YOG spectators perceive the level of performance at new competitions as very high.• Watching an event from start to finish results in an increased entertainment level.• Spectators’ eustress scores are higher at action-packed events.• Spectators lack an understanding of the competition rules for new event formats.• Ski Halfpipe and Snowboard Slopestyle have potential for future development.
10.1016/j.smr.2017.08.004,Li-Shiue Gau,first,"Asia University, Taichung, 41354, Taiwan","The Business of Sports-Off the Field, in the Office, on the News",2018-10-1,21,4,473-474,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",NA
10.1016/j.smr.2017.08.004,Mark Conrad,additional,"(3rd Edition), Routledge, 711 Third Avenue, New York (2017). p. 453. ISBN: 9781138913196.","The Business of Sports-Off the Field, in the Office, on the News",2018-10-1,21,4,473-474,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management",NA
10.1080/14413523.2021.2014183,Guninder Pal Singh,first,"Marketing Area, Indian Institute of Management Lucknow, Lucknow, India",Uncovering the knowledge structure of the fan-sporting object relationship: a bibliometric analysis,2022-2-23,NA,NA,1-22,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","ABSTRACTFans are a central entity in the sport ecosystem, and their importance in the sport value chain needs no emphasis. Despite extensive scholarly work around fans in sport management, the discipline lacks a unified view from a relational perspective. In this study, we present a bibliometric and content analysis of the fan-sporting object relationship literature. We conduct citation and cocitation analysis across 1704 journal documents, having 91,071 references. Our study finds that six intellectual clusters depict the realm of this relationship. Further, we report the centrality attributes of the most influential works of the domain. Our work thereby presents the intellectual structure of the literature of the fan-sporting object relationship and depicts it in an integrated framework. We complement our bibliometric review with a content analysis of relevant recent scholarly work to incorporate contemporary viewpoints. In doing so, we contribute to sport management by taking an expansive perspective of fans and accordingly provide future research directions."
10.1080/14413523.2021.2014183,Anirban Chakraborty,additional,"Marketing Area, Indian Institute of Management Lucknow, Lucknow, India",Uncovering the knowledge structure of the fan-sporting object relationship: a bibliometric analysis,2022-2-23,NA,NA,1-22,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","ABSTRACTFans are a central entity in the sport ecosystem, and their importance in the sport value chain needs no emphasis. Despite extensive scholarly work around fans in sport management, the discipline lacks a unified view from a relational perspective. In this study, we present a bibliometric and content analysis of the fan-sporting object relationship literature. We conduct citation and cocitation analysis across 1704 journal documents, having 91,071 references. Our study finds that six intellectual clusters depict the realm of this relationship. Further, we report the centrality attributes of the most influential works of the domain. Our work thereby presents the intellectual structure of the literature of the fan-sporting object relationship and depicts it in an integrated framework. We complement our bibliometric review with a content analysis of relevant recent scholarly work to incorporate contemporary viewpoints. In doing so, we contribute to sport management by taking an expansive perspective of fans and accordingly provide future research directions."
10.1080/14413523.2021.2014183,Swapan Deep Arora,additional,"Marketing Area, Indian Institute of Management Lucknow, Lucknow, India",Uncovering the knowledge structure of the fan-sporting object relationship: a bibliometric analysis,2022-2-23,NA,NA,1-22,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","ABSTRACTFans are a central entity in the sport ecosystem, and their importance in the sport value chain needs no emphasis. Despite extensive scholarly work around fans in sport management, the discipline lacks a unified view from a relational perspective. In this study, we present a bibliometric and content analysis of the fan-sporting object relationship literature. We conduct citation and cocitation analysis across 1704 journal documents, having 91,071 references. Our study finds that six intellectual clusters depict the realm of this relationship. Further, we report the centrality attributes of the most influential works of the domain. Our work thereby presents the intellectual structure of the literature of the fan-sporting object relationship and depicts it in an integrated framework. We complement our bibliometric review with a content analysis of relevant recent scholarly work to incorporate contemporary viewpoints. In doing so, we contribute to sport management by taking an expansive perspective of fans and accordingly provide future research directions."
10.1080/14413523.2021.1880757,Erin Buzuvis,first,"Western New England University School of Law, Springfield, MA, USA","Law, policy, and the participation of transgender athletes in the United States",2021-3-29,24,3,439-451,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","ABSTRACTThis article provides an overview of U.S. law and public policy governing the rights of transgender athletes to participate in sports programs and how sports organizers should take the law, or its absence, into account when creating internal policies in this area."
10.1080/14413523.2021.1880742,E. Nicole Melton,first,"Mark H. McCormack Department of Sport Management, University of Massachusetts, Amherst, MA, USA",Examining sport marketing through a rainbow lens,2021-3-25,24,3,421-438,"Marketing, Management Science and Operations Research, Organizational Behavior and Human Resource Management, Strategy and Management, Tourism, Leisure and Hospitality Management, Business and International Management","ABSTRACTAs sport has gradually become more accepting of LGBTQ individuals, sport organizations have attempted to connect with this lucrative market. The purpose of this paper is to provide an overview of the existing research that examines sport marketing issues related to LGBTQ individuals in sport. In doing so, the authors provide a multilevel model for understanding sport consumer perceptions of LGBTQ-inclusive marketing initiatives and highlight key contributions. The authors conclude by offering suggestions for future research. Based on the review of literature, authentic signals of inclusion can generate positive outcomes for fans and sport organizations. However, there is a need to create inclusive spectator sport spaces where LGBTQ fans feel safe and accepted."
